Relationship, Support, Confidence, Lift, Leverage, Conviction
"{55776}' -> '{40313}", 0.028439, 0.900000, 23.734615, 0.027241, 9.620807
"{40313}' -> '{55776}", 0.028439, 0.750000, 23.734615, 0.027241, 3.873602
"{12305}' -> '{95398}", 0.025766, 0.688312, 25.979030, 0.024774, 3.123329
"{95398}' -> '{12305}", 0.025766, 0.972477, 25.979030, 0.024774, 34.973261
"{51657}' -> '{95398}", 0.025523, 0.981308, 37.037640, 0.024834, 52.082520
"{95398}' -> '{51657}", 0.025523, 0.963303, 37.037640, 0.024834, 26.541261
"{64408}' -> '{39749}", 0.025523, 0.477273, 17.223684, 0.024041, 1.860033
"{39749}' -> '{64408}", 0.025523, 0.921053, 17.223684, 0.024041, 11.989305
"{51657}' -> '{12305}", 0.025280, 0.971963, 25.965287, 0.024306, 34.331550
"{12305}' -> '{51657}", 0.025280, 0.675325, 25.965287, 0.024306, 2.999893
"{12305}' -> '{92490}", 0.025280, 0.675325, 26.210243, 0.024315, 3.000642
"{92490}' -> '{12305}", 0.025280, 0.981132, 26.210243, 0.024315, 51.016040
"{92490}' -> '{95398}", 0.025036, 0.971698, 36.674918, 0.024354, 34.397179
"{95398}' -> '{92490}", 0.025036, 0.944954, 36.674918, 0.024354, 17.698590
"{51657}' -> '{92490}", 0.025036, 0.962617, 37.360430, 0.024366, 26.060767
"{92490}' -> '{51657}", 0.025036, 0.971698, 37.360430, 0.024366, 34.414356
"{24746}' -> '{95398}", 0.024793, 0.980769, 37.017290, 0.024124, 50.622263
"{95398}' -> '{24746}", 0.024793, 0.935780, 37.017290, 0.024124, 15.177790
"{95398}' -> '{7190}", 0.024793, 0.935780, 36.664744, 0.024117, 15.174005
"{7190}' -> '{95398}", 0.024793, 0.971429, 36.664744, 0.024117, 34.072677
"{12305}' -> '{7190}", 0.024793, 0.662338, 25.951020, 0.023838, 2.885952
"{7190}' -> '{12305}", 0.024793, 0.971429, 25.951020, 0.023838, 33.689838
"{51657}' -> '{24746}", 0.024550, 0.943925, 37.339504, 0.023893, 17.382515
"{24746}' -> '{51657}", 0.024550, 0.971154, 37.339504, 0.023893, 33.765029
"{12305}' -> '{24746}", 0.024550, 0.655844, 25.943681, 0.023604, 2.832207
"{24746}' -> '{12305}", 0.024550, 0.971154, 25.943681, 0.023604, 33.368983
"{51657}' -> '{7190}", 0.024550, 0.943925, 36.983890, 0.023887, 17.378180
"{7190}' -> '{51657}", 0.024550, 0.961905, 36.983890, 0.023887, 25.567270
"{39749}' -> '{7686}", 0.024307, 0.877193, 33.414555, 0.023580, 7.929092
"{7686}' -> '{39749}", 0.024307, 0.925926, 33.414555, 0.023580, 13.125911
"{92490}' -> '{7190}", 0.024307, 0.943396, 36.963163, 0.023650, 17.215767
"{7190}' -> '{92490}", 0.024307, 0.952381, 36.963163, 0.023650, 20.458920
"{95398}' -> '{88631}", 0.024064, 0.908257, 36.633028, 0.023407, 10.629752
"{88631}' -> '{95398}", 0.024064, 0.970588, 36.633028, 0.023407, 33.099172
"{12305}' -> '{88631}", 0.024064, 0.642857, 25.928571, 0.023136, 2.730579
"{88631}' -> '{12305}", 0.024064, 0.970588, 25.928571, 0.023136, 32.727272
"{24746}' -> '{92490}", 0.024064, 0.951923, 36.945392, 0.023413, 20.264073
"{92490}' -> '{24746}", 0.024064, 0.933962, 36.945392, 0.023413, 14.760053
"{51657}' -> '{88631}", 0.023821, 0.915888, 36.940810, 0.023176, 11.594123
"{88631}' -> '{51657}", 0.023821, 0.960784, 36.940810, 0.023176, 24.836776
"{74994}' -> '{7686}", 0.023821, 0.915888, 34.888543, 0.023138, 11.576784
"{7686}' -> '{74994}", 0.023821, 0.907407, 34.888543, 0.023138, 10.519105
"{7190}' -> '{88631}", 0.023821, 0.933333, 37.644444, 0.023188, 14.628099
"{88631}' -> '{7190}", 0.023821, 0.960784, 37.644444, 0.023188, 24.849173
"{74994}' -> '{39749}", 0.023821, 0.915888, 33.052304, 0.023100, 11.559445
"{39749}' -> '{74994}", 0.023821, 0.859649, 33.052304, 0.023100, 6.939688
"{24746}' -> '{7190}", 0.023821, 0.942308, 36.920513, 0.023176, 16.890941
"{7190}' -> '{24746}", 0.023821, 0.933333, 36.920513, 0.023176, 14.620807
"{98490}' -> '{82125}", 0.023821, 0.951456, 29.880086, 0.023024, 19.944044
"{82125}' -> '{98490}", 0.023821, 0.748092, 29.880086, 0.023024, 3.870310
"{92490}' -> '{88631}", 0.023578, 0.915094, 36.908805, 0.022939, 11.485767
"{88631}' -> '{92490}", 0.023578, 0.950980, 36.908805, 0.022939, 19.874380
"{24746}' -> '{88631}", 0.023578, 0.932692, 37.618590, 0.022951, 14.488784
"{88631}' -> '{24746}", 0.023578, 0.950980, 37.618590, 0.022951, 19.884297
"{61432}' -> '{39749}", 0.023578, 0.950980, 34.318713, 0.022891, 19.834710
"{39749}' -> '{61432}", 0.023578, 0.850877, 34.318713, 0.022891, 6.539621
"{64408}' -> '{7686}", 0.023578, 0.440909, 16.795370, 0.022174, 1.741663
"{7686}' -> '{64408}", 0.023578, 0.898148, 16.795370, 0.022174, 9.293145
"{64408}' -> '{74994}", 0.023335, 0.436364, 16.777570, 0.021944, 1.728049
"{74994}' -> '{64408}", 0.023335, 0.897196, 16.777570, 0.021944, 9.207098
"{61432}' -> '{64408}", 0.022849, 0.921569, 17.233333, 0.021523, 12.068182
"{64408}' -> '{61432}", 0.022849, 0.427273, 17.233333, 0.021523, 1.702742
"{25161}' -> '{39749}", 0.022606, 0.930000, 33.561579, 0.021932, 13.889853
"{39749}' -> '{25161}", 0.022606, 0.815789, 33.561579, 0.021932, 5.296618
"{61432}' -> '{7686}", 0.022606, 0.911765, 34.731481, 0.021955, 11.035813
"{7686}' -> '{61432}", 0.022606, 0.861111, 34.731481, 0.021955, 7.021488
"{44776}' -> '{54782}", 0.021877, 0.937500, 41.030585, 0.021343, 15.634419
"{54782}' -> '{44776}", 0.021877, 0.957447, 41.030585, 0.021343, 22.951628
"{25161}' -> '{7686}", 0.021633, 0.890000, 33.902407, 0.020995, 8.852256
"{7686}' -> '{25161}", 0.021633, 0.824074, 33.902407, 0.020995, 5.546043
"{98490}' -> '{24037}", 0.021633, 0.864078, 39.063907, 0.021080, 7.194406
"{24037}' -> '{98490}", 0.021633, 0.978022, 39.063907, 0.021080, 44.360839
"{61432}' -> '{74994}", 0.021633, 0.872549, 33.548287, 0.020989, 7.642085
"{74994}' -> '{61432}", 0.021633, 0.831776, 33.548287, 0.020989, 5.797061
"{64408}' -> '{25161}", 0.021390, 0.400000, 16.456000, 0.020091, 1.626155
"{25161}' -> '{64408}", 0.021390, 0.880000, 16.456000, 0.020091, 7.887700
"{44776}' -> '{14148}", 0.021390, 0.916667, 40.550179, 0.020863, 11.728731
"{14148}' -> '{44776}", 0.021390, 0.946237, 40.550179, 0.020863, 18.165970
